expert,slug,company,channel_name,video_id,title,url,source_type,status,caption_source,transcript_chars,transcript_file,upload_date,duration,error
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,uza9GX0E2mw,AI SEO Course for Beginners: Complete AEO Tutorial,https://www.youtube.com/watch?v=uza9GX0E2mw,channel_recent,existing,existing_file,86133,research\youtube-transcripts\tim-soulo-ahrefs\uza9GX0E2mw - AI SEO Course for Beginners Complete AEO Tutorial.txt,,5216.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,rGdR1KC6O2s,I Used AI Agents to Replace Our Marketing Agency,https://www.youtube.com/watch?v=rGdR1KC6O2s,channel_recent,existing,existing_file,11358,research\youtube-transcripts\tim-soulo-ahrefs\rGdR1KC6O2s - I Used AI Agents to Replace Our Marketing Agency.txt,,686.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,Xq9qD7Xl5Ps,Why I Switched from ChatGPT to Claude,https://www.youtube.com/watch?v=Xq9qD7Xl5Ps,channel_recent,existing,existing_file,13132,research\youtube-transcripts\tim-soulo-ahrefs\Xq9qD7Xl5Ps - Why I Switched from ChatGPT to Claude.txt,,776.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,W6ofmUbVr6M,This AI Tool Generates Viral Thumbnails (Prompts Included),https://www.youtube.com/watch?v=W6ofmUbVr6M,channel_recent,existing,existing_file,12711,research\youtube-transcripts\tim-soulo-ahrefs\W6ofmUbVr6M - This AI Tool Generates Viral Thumbnails (Prompts Included).txt,,668.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,Y_QrXGeNfQU,Your AEO Strategy + Action Plan Checklist | 4.2. AEO Course by Ahrefs,https://www.youtube.com/watch?v=Y_QrXGeNfQU,channel_recent,existing,existing_file,8041,research\youtube-transcripts\tim-soulo-ahrefs\Y_QrXGeNfQU - Your AEO Strategy + Action Plan Checklist 4.2. AEO Course by Ahrefs.txt,,474.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,JMbRFcQobHU,What a Real AI Business Looks Like (No Hype),https://www.youtube.com/watch?v=JMbRFcQobHU,channel_recent,existing,existing_file,56565,research\youtube-transcripts\gael-breton-authority-hacker\JMbRFcQobHU - What a Real AI Business Looks Like (No Hype).txt,,2873.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,NY5kJfMQ5bk,What Actually Changed In Claude Opus 4.8,https://www.youtube.com/watch?v=NY5kJfMQ5bk,channel_recent,existing,existing_file,48951,research\youtube-transcripts\gael-breton-authority-hacker\NY5kJfMQ5bk - What Actually Changed In Claude Opus 4.8.txt,,2470.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,OYJa8XPd210,5 Months Of Claude Code (As A Business Owner),https://www.youtube.com/watch?v=OYJa8XPd210,channel_recent,existing,existing_file,57244,research\youtube-transcripts\gael-breton-authority-hacker\OYJa8XPd210 - 5 Months Of Claude Code (As A Business Owner).txt,,3019.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,RvKOqDnaaI4,GPT-5.5 vs Claude: I Switched For 7 Days,https://www.youtube.com/watch?v=RvKOqDnaaI4,channel_recent,existing,existing_file,68997,research\youtube-transcripts\gael-breton-authority-hacker\RvKOqDnaaI4 - GPT-5.5 vs Claude I Switched For 7 Days.txt,,3649.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,HFYMVRbVuYY,We Just Tested ChatGPT Image 2,https://www.youtube.com/watch?v=HFYMVRbVuYY,channel_recent,existing,existing_file,65649,research\youtube-transcripts\gael-breton-authority-hacker\HFYMVRbVuYY - We Just Tested ChatGPT Image 2.txt,,3368.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era I Ft. Ross Simmonds & Sam Garg",https://www.youtube.com/watch?v=du26Ywa-CtA,channel_recent,no_transcript,failed,0,,,3482.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=du26Ywa-CtA! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,h3850aaD_LM,Getting Started with Writesonic AI Search (GEO Dashboard Tour),https://www.youtube.com/watch?v=h3850aaD_LM,channel_recent,no_transcript,failed,0,,,851.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=h3850aaD_LM! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,Eldn4PABl-k,ChatGPT Just Became a Paid Ad Platform Overnight. Here's What Marketers Must Do Right Now!,https://www.youtube.com/watch?v=Eldn4PABl-k,channel_recent,no_transcript,failed,0,,,343.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Eldn4PABl-k! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,_udNpKV7_DQ,Is Your SEO Outdated? 5 Crucial Steps for 2026 Success,https://www.youtube.com/watch?v=_udNpKV7_DQ,channel_recent,no_transcript,failed,0,,,558.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=_udNpKV7_DQ! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,dkd3ydw9iH0,Organic Marketing in the Age of AI Search | Krista Doyle (Fan Out) × Samanyou Garg (Writesonic),https://www.youtube.com/watch?v=dkd3ydw9iH0,channel_recent,no_transcript,failed,0,,,3455.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=dkd3ydw9iH0! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,qN57vJns8ls,"The ""Fast-Forward"" Button for Content Optimization: Boost Content Grade",https://www.youtube.com/watch?v=qN57vJns8ls,channel_recent,no_transcript,failed,0,,,173.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=qN57vJns8ls! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,RMg2eTZL7Jk,"How To Do AEO (prompt research, query fan out, content): Live Session w/ Bernard Huang (Clearscope)",https://www.youtube.com/watch?v=RMg2eTZL7Jk,channel_recent,no_transcript,failed,0,,,3583.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=RMg2eTZL7Jk! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,0tV2ewk-9rs,How to Reverse Engineer the Prompts Your Customers Actually Use,https://www.youtube.com/watch?v=0tV2ewk-9rs,channel_recent,no_transcript,failed,0,,,345.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=0tV2ewk-9rs! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,c-VtgjXWsK4,"The Future of Search (SEO, AI SEO, AEO, GEO) with Lily Ray, Kevin Indig, Ross Hudgens, Steve Toth",https://www.youtube.com/watch?v=c-VtgjXWsK4,channel_recent,no_transcript,failed,0,,,3767.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=c-VtgjXWsK4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Bernard Huang,bernard-huang-clearscope,Clearscope,Clearscope,zUF4GSA_XUw,"Why ""Prompt Tracking"" is the New Rank Tracking (And How to Start)",https://www.youtube.com/watch?v=zUF4GSA_XUw,channel_recent,no_transcript,failed,0,,,422.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=zUF4GSA_XUw! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,or2QWt5Sw9A,Inside HubSpot's Category-Leading GEO Program w/ Aja Frost,https://www.youtube.com/watch?v=or2QWt5Sw9A,channel_recent,no_transcript,failed,0,,,3381.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=or2QWt5Sw9A! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,MTBIMRF1DLE,What Your CMO Needs to Know About AI Search w/ Tom Critchlow,https://www.youtube.com/watch?v=MTBIMRF1DLE,channel_recent,no_transcript,failed,0,,,3502.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=MTBIMRF1DLE! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,DSU67DOqljY,Eli Schwartz on Google’s GEO Advice and SEO Careers Today,https://www.youtube.com/watch?v=DSU67DOqljY,channel_recent,no_transcript,failed,0,,,3937.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=DSU67DOqljY! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,DKAGf2lk488,"Lily Ray on AI Slop, GEO, and What Actually Works",https://www.youtube.com/watch?v=DKAGf2lk488,channel_recent,no_transcript,failed,0,,,2766.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=DKAGf2lk488! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Hudgens,ross-hudgens-siege-media,Siege Media,Siege Media,QGqd9Ck0PI4,Is Content Syndication Worth It? w/ Stacker's Noah Greenberg,https://www.youtube.com/watch?v=QGqd9Ck0PI4,channel_recent,no_transcript,failed,0,,,2421.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=QGqd9Ck0PI4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,DPJErHAz38A,He Dropped His SEO Guy and the Rankings Instantly Tanked,https://www.youtube.com/watch?v=DPJErHAz38A,channel_recent,no_transcript,failed,0,,,3160.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=DPJErHAz38A! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,gauZh-k8BIg,"The Only Local SEO Course You Need in 2026 ($2,000 VALUE)",https://www.youtube.com/watch?v=gauZh-k8BIg,channel_recent,no_transcript,failed,0,,,2025.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=gauZh-k8BIg! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,G1LsWFM9yXU,"I Built a SaaS in 3 Days With AI (Solo, $700 in 24H)",https://www.youtube.com/watch?v=G1LsWFM9yXU,channel_recent,no_transcript,failed,0,,,705.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=G1LsWFM9yXU! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,aJql4on012o,"If You're on Upwork, You're Cooked",https://www.youtube.com/watch?v=aJql4on012o,channel_recent,no_transcript,failed,0,,,2955.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=aJql4on012o! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,Indexsy,b6N10-xYGys,The 'Boomer Industry' Play Converting at 3X (Nobody's Doing This),https://www.youtube.com/watch?v=b6N10-xYGys,channel_recent,no_transcript,failed,0,,,2037.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=b6N10-xYGys! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Writesonic,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era",https://www.youtube.com/watch?v=du26Ywa-CtA,youtube_appearance,no_transcript,failed,0,,,,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=du26Ywa-CtA! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Ross Simmonds,axTH6nKDUY4,"Ross Simmonds keynote demo reel: Content, SEO and AI",https://www.youtube.com/watch?v=axTH6nKDUY4,youtube_appearance,no_transcript,failed,0,,,,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=axTH6nKDUY4! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,Clearscope,ZvZxuoLQr9U,Content Growth Framework by Ross Simmonds of Foundation Marketing,https://www.youtube.com/watch?v=ZvZxuoLQr9U,youtube_appearance,no_transcript,failed,0,,,,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ZvZxuoLQr9U! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era",https://www.youtube.com/watch?v=du26Ywa-CtA,youtube_appearance,no_transcript,failed,0,,,,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=du26Ywa-CtA! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
Tibo Maker,tibo-maker-outrank,Outrank / Revid AI / Feather,Starter Story,xeUhKuJbeWQ,Tibo Maker on Outrank and his SaaS portfolio,https://www.youtube.com/watch?v=xeUhKuJbeWQ,local_starter_story_transcript,existing,local_existing_file,18644,research\youtube-transcripts\tibo-maker-outrank\xeUhKuJbeWQ - Tibo Maker on Outrank and his SaaS portfolio.txt,,,
John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,Starter Story,En34iY-rQc0,John Rush on SEObot and his product portfolio,https://www.youtube.com/watch?v=En34iY-rQc0,local_starter_story_transcript,existing,local_existing_file,18414,research\youtube-transcripts\john-rush-seobot\En34iY-rQc0 - John Rush on SEObot and his product portfolio.txt,,,
Bhanu Teja P,bhanu-teja-sitegpt,SiteGPT / Feather,Starter Story,Adl5_lJfkEE,Bhanu Teja P on SiteGPT and free-tools SEO,https://www.youtube.com/watch?v=Adl5_lJfkEE,local_starter_story_transcript,existing,local_existing_file,15700,research\youtube-transcripts\bhanu-teja-sitegpt\Adl5_lJfkEE - Bhanu Teja P on SiteGPT and free-tools SEO.txt,,,
