expert,video_count_for_expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,transcript_file
Jason Bay,7,1,Jason Bay,mvuBok0Izcw,"Motive CRO on moving up-market and leading an org of 3,000+",https://www.youtube.com/watch?v=mvuBok0Izcw,3126.0,ok,47428,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\mvuBok0Izcw - Motive CRO on moving up-market and leading an org of 3,000+.txt"
Jason Bay,7,2,Jason Bay,cS1Nh_62D4g,"World-class enablement, AE self-sourcing, and onboarding",https://www.youtube.com/watch?v=cS1Nh_62D4g,2841.0,ok,52118,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\cS1Nh_62D4g - World-class enablement, AE self-sourcing, and onboarding.txt"
Jason Bay,7,3,Jason Bay,jbNjUkUdeFY,From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt,https://www.youtube.com/watch?v=jbNjUkUdeFY,3819.0,ok,69214,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\jbNjUkUdeFY - From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt.txt
Jason Bay,7,4,Jason Bay,o7Tc5n8LrU8,Scaling unconventional outbound with Sr Dir of Sales Development at Rippling,https://www.youtube.com/watch?v=o7Tc5n8LrU8,3327.0,ok,64301,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\o7Tc5n8LrU8 - Scaling unconventional outbound with Sr Dir of Sales Development at Rippling.txt
Jason Bay,7,5,Jason Bay,dzeS1HGBxIE,“Our BDR booked 7 meetings yesterday” with Paul Salamanca,https://www.youtube.com/watch?v=dzeS1HGBxIE,3280.0,ok,57859,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\dzeS1HGBxIE - “Our BDR booked 7 meetings yesterday” with Paul Salamanca.txt
Jason Bay,7,6,Jason Bay,YdrknrnFWVU,Get reps to drop their guard,https://www.youtube.com/watch?v=YdrknrnFWVU,51.0,ok,959,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\YdrknrnFWVU - Get reps to drop their guard.txt
Jason Bay,7,7,Jason Bay,m-TPpWzqPJU,"Disagree and commit, then learn",https://www.youtube.com/watch?v=m-TPpWzqPJU,39.0,ok,782,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\m-TPpWzqPJU - Disagree and commit, then learn.txt"
Armand Farrokh,7,1,30 Minutes to President's Club,LbcfLsCYPuM,Negotiation Masterclass: 32 Minutes of Proven Negotiation Tactics (B2B Sales),https://www.youtube.com/watch?v=LbcfLsCYPuM,1959.0,ok,33403,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\LbcfLsCYPuM - Negotiation Masterclass 32 Minutes of Proven Negotiation Tactics (B2B Sales).txt
Armand Farrokh,7,2,30 Minutes to President's Club,AtO39nkL0Io,The Top 5 Sales Scripts To Handle ANY Pricing Objection,https://www.youtube.com/watch?v=AtO39nkL0Io,1859.0,ok,32105,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\AtO39nkL0Io - The Top 5 Sales Scripts To Handle ANY Pricing Objection.txt
Armand Farrokh,7,3,30 Minutes to President's Club,x5Gup2UTCSQ,Become Dangerously Good At Negotiation,https://www.youtube.com/watch?v=x5Gup2UTCSQ,2070.0,ok,37761,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\x5Gup2UTCSQ - Become Dangerously Good At Negotiation.txt
Armand Farrokh,7,4,30 Minutes to President's Club,Wzyq2u2-M3E,I Cold Called a Product I’ve Never Sold. Here’s What Happened.,https://www.youtube.com/watch?v=Wzyq2u2-M3E,1046.0,ok,19954,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\Wzyq2u2-M3E - I Cold Called a Product I’ve Never Sold. Here’s What Happened..txt
Armand Farrokh,7,5,30 Minutes to President's Club,XJ4-PiouLA8,Cold Email Elimination: AI Slop vs Shakespearean Sonnet,https://www.youtube.com/watch?v=XJ4-PiouLA8,947.0,ok,18663,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\XJ4-PiouLA8 - Cold Email Elimination AI Slop vs Shakespearean Sonnet.txt
Armand Farrokh,7,6,30 Minutes to President's Club,iPWRkfhp09U,How You Win The Game Of Productivity (Sales Leaders Must Watch),https://www.youtube.com/watch?v=iPWRkfhp09U,1537.0,ok,28939,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\iPWRkfhp09U - How You Win The Game Of Productivity (Sales Leaders Must Watch).txt
Armand Farrokh,7,7,30 Minutes to President's Club,gE3ujM-4xro,9 Psychological Sales Tactics to Instantly Raise Your Status,https://www.youtube.com/watch?v=gE3ujM-4xro,1812.0,ok,35339,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\gE3ujM-4xro - 9 Psychological Sales Tactics to Instantly Raise Your Status.txt
John Barrows,7,1,John Barrows,LkeKpUhGL3A,"How Fear Controls the Way We Lead, Sell, and Parent with Bryan Post",https://www.youtube.com/watch?v=LkeKpUhGL3A,3274.0,ok,52686,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\LkeKpUhGL3A - How Fear Controls the Way We Lead, Sell, and Parent with Bryan Post.txt"
John Barrows,7,2,John Barrows,O_26K4-q0TY,AI Is Not a Strategy: How to Lead Real Transformation with Julie Averill,https://www.youtube.com/watch?v=O_26K4-q0TY,3516.0,ok,57054,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\O_26K4-q0TY - AI Is Not a Strategy How to Lead Real Transformation with Julie Averill.txt
John Barrows,7,3,John Barrows,NlVM77SYKGs,How AI Agents Are Rewriting Sales with Kris Billmaier,https://www.youtube.com/watch?v=NlVM77SYKGs,3257.0,ok,58225,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\NlVM77SYKGs - How AI Agents Are Rewriting Sales with Kris Billmaier.txt
John Barrows,7,4,John Barrows,Ey9Jy-Co4z8,Prepare for Any Sales Meeting | AI Prompt Pack DTC01 | JB Sales,https://www.youtube.com/watch?v=Ey9Jy-Co4z8,146.0,ok,2869,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\Ey9Jy-Co4z8 - Prepare for Any Sales Meeting AI Prompt Pack DTC01 JB Sales.txt
John Barrows,7,5,John Barrows,USAU2ZTwHwc,Know Your Sales Equation | AI Prompt Pack FTF01 | JB Sales,https://www.youtube.com/watch?v=USAU2ZTwHwc,109.0,ok,2153,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\USAU2ZTwHwc - Know Your Sales Equation AI Prompt Pack FTF01 JB Sales.txt
John Barrows,7,6,John Barrows,2u-Ios9lsNk,Build Your Ideal Customer Profile | AI Prompt Pack FTF02 | JB Sales,https://www.youtube.com/watch?v=2u-Ios9lsNk,100.0,ok,2008,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\2u-Ios9lsNk - Build Your Ideal Customer Profile AI Prompt Pack FTF02 JB Sales.txt
John Barrows,7,7,John Barrows,rc-ef5wHerY,Identify Your Trigger Events | AI Prompt Pack FTF03 | JB Sales,https://www.youtube.com/watch?v=rc-ef5wHerY,109.0,ok,2215,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\john-barrows\rc-ef5wHerY - Identify Your Trigger Events AI Prompt Pack FTF03 JB Sales.txt
Sam McKenna,7,1,Samantha McKenna - #samsales,y5mzgEjY9TA,LinkedIn Sales Navigator Webinar Replay: 3 Searches That Fill Your Pipeline Fast,https://www.youtube.com/watch?v=y5mzgEjY9TA,3182.0,ok,59972,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\y5mzgEjY9TA - LinkedIn Sales Navigator Webinar Replay 3 Searches That Fill Your Pipeline Fast.txt
Sam McKenna,7,2,Samantha McKenna - #samsales,LGk4dtwsFJc,Creating Urgency with Microsoft,https://www.youtube.com/watch?v=LGk4dtwsFJc,210.0,ok,3954,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\LGk4dtwsFJc - Creating Urgency with Microsoft.txt
Sam McKenna,7,3,Samantha McKenna - #samsales,1oSzdP5ey30,Part 8:  The Breakup Email - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=1oSzdP5ey30,397.0,ok,7175,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\1oSzdP5ey30 - Part 8 The Breakup Email - Samantha McKenna with Salesloft.txt
Sam McKenna,7,4,Samantha McKenna - #samsales,vjLe24GXu1I,Part 7: The Nurture Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=vjLe24GXu1I,198.0,ok,3270,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\vjLe24GXu1I - Part 7 The Nurture Phase - Samantha McKenna with Salesloft.txt
Sam McKenna,7,5,Samantha McKenna - #samsales,lyxdgDNlFx4,Part 6:  The Active Selling Phase - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=lyxdgDNlFx4,305.0,ok,4833,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\lyxdgDNlFx4 - Part 6 The Active Selling Phase - Samantha McKenna with Salesloft.txt
Sam McKenna,7,6,Samantha McKenna - #samsales,GdFKRDQup0Q,Part 5: Email One - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=GdFKRDQup0Q,424.0,ok,6317,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\GdFKRDQup0Q - Part 5 Email One - Samantha McKenna with Salesloft.txt
Sam McKenna,7,7,Samantha McKenna - #samsales,WPMzxZodePU,Part 4: The Buyer Persona - Samantha McKenna with Salesloft,https://www.youtube.com/watch?v=WPMzxZodePU,341.0,ok,5299,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\sam-mckenna\WPMzxZodePU - Part 4 The Buyer Persona - Samantha McKenna with Salesloft.txt
Morgan J Ingram,7,1,Morgan J Ingram,aeu_fcrQM-w,How I'd Build $1.8M in B2B Pipeline From Scratch With Claude AI,https://www.youtube.com/watch?v=aeu_fcrQM-w,716.0,ok,12508,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\aeu_fcrQM-w - How I'd Build $1.8M in B2B Pipeline From Scratch With Claude AI.txt
Morgan J Ingram,7,2,Morgan J Ingram,TG6t8prU3jk,How I Made My First $100K on LinkedIn (Step by Step Breakdown),https://www.youtube.com/watch?v=TG6t8prU3jk,1028.0,ok,18425,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\TG6t8prU3jk - How I Made My First $100K on LinkedIn (Step by Step Breakdown).txt
Morgan J Ingram,7,3,Morgan J Ingram,7VnSopgJhqI,The Sales Navigator System That Built $30M in B2B Pipeline,https://www.youtube.com/watch?v=7VnSopgJhqI,800.0,ok,13828,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\7VnSopgJhqI - The Sales Navigator System That Built $30M in B2B Pipeline.txt
Morgan J Ingram,7,4,Morgan J Ingram,l5rC2EDw1pU,How to Use Sales Navigator Like a Pro to Book an Extra Meeting,https://www.youtube.com/watch?v=l5rC2EDw1pU,2842.0,ok,42491,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\l5rC2EDw1pU - How to Use Sales Navigator Like a Pro to Book an Extra Meeting.txt
Morgan J Ingram,7,5,Morgan J Ingram,x9gnC9zOtaU,The Secret Strategy to Turn Your Cold Leads Into Gold! (Inside of Sales Navigator),https://www.youtube.com/watch?v=x9gnC9zOtaU,97.0,ok,1937,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\x9gnC9zOtaU - The Secret Strategy to Turn Your Cold Leads Into Gold! (Inside of Sales Navigator).txt
Morgan J Ingram,7,6,Morgan J Ingram,lOc1v7wghYg,Stop Small Talk! Use These 3 Questions to Master Networking,https://www.youtube.com/watch?v=lOc1v7wghYg,99.0,ok,2076,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\lOc1v7wghYg - Stop Small Talk! Use These 3 Questions to Master Networking.txt
Morgan J Ingram,7,7,Morgan J Ingram,1Fo2pYofcNQ,The One Outbound Shift That Gave Two SDRs 29% More Opportunities.,https://www.youtube.com/watch?v=1Fo2pYofcNQ,3532.0,ok,64308,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\morgan-j-ingram\1Fo2pYofcNQ - The One Outbound Shift That Gave Two SDRs 29% More Opportunities..txt
Alex Berman,7,1,Alex Berman,JZl7OSFarBE,How to Find Someone's Address,https://www.youtube.com/watch?v=JZl7OSFarBE,54.0,ok,1081,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\JZl7OSFarBE - How to Find Someone's Address.txt
Alex Berman,7,2,Alex Berman,Zfpg_uDsztI,I Got My First 10 Clients From My Phone...here's how..,https://www.youtube.com/watch?v=Zfpg_uDsztI,154.0,ok,3521,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\Zfpg_uDsztI - I Got My First 10 Clients From My Phone...here's how...txt
Alex Berman,7,3,Alex Berman,1CDZ6bjyYHE,Kill Any Cold Email Objection Before It Hits (Here's How),https://www.youtube.com/watch?v=1CDZ6bjyYHE,128.0,ok,2897,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\1CDZ6bjyYHE - Kill Any Cold Email Objection Before It Hits (Here's How).txt
Alex Berman,7,4,Alex Berman,krkfL2WuO2g,"Saving a $3,500,000 Agency for a Stranger in 51 Mins",https://www.youtube.com/watch?v=krkfL2WuO2g,143.0,ok,3205,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\krkfL2WuO2g - Saving a $3,500,000 Agency for a Stranger in 51 Mins.txt"
Alex Berman,7,5,Alex Berman,6CyZzqYzg4Y,How to Get Clients So Fast It Feels ILLEGAL,https://www.youtube.com/watch?v=6CyZzqYzg4Y,165.0,ok,3568,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\6CyZzqYzg4Y - How to Get Clients So Fast It Feels ILLEGAL.txt
Alex Berman,7,6,Alex Berman,FwIZEX-CjQg,Why I'll NEVER Hire a Sales Rep Again Without This,https://www.youtube.com/watch?v=FwIZEX-CjQg,251.0,ok,5658,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\FwIZEX-CjQg - Why I'll NEVER Hire a Sales Rep Again Without This.txt
Alex Berman,7,7,Alex Berman,aaa4QYcB1Xc,Why Hard-Working Closers Stay Broke,https://www.youtube.com/watch?v=aaa4QYcB1Xc,165.0,ok,3740,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\alex-berman\aaa4QYcB1Xc - Why Hard-Working Closers Stay Broke.txt
Collin Stewart,7,1,Predictable Revenue,Km9_roPKpHY,How to Pivot Your SaaS Startup for Success with Arvind Ramasami | Predictable Revenue Podcast Replay,https://www.youtube.com/watch?v=Km9_roPKpHY,936.0,ok,16180,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\Km9_roPKpHY - How to Pivot Your SaaS Startup for Success with Arvind Ramasami Predictable Revenue Podcas.txt
Collin Stewart,7,2,Predictable Revenue,PoMWVC7a67I,Understanding PMF in Data Security | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=PoMWVC7a67I,182.0,ok,3443,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\PoMWVC7a67I - Understanding PMF in Data Security Predictable Revenue Founder Tips.txt
Collin Stewart,7,3,Predictable Revenue,51Fi4W4Gw9g,Validating Tech Early: A Data-Driven Approach | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=51Fi4W4Gw9g,293.0,ok,5023,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\51Fi4W4Gw9g - Validating Tech Early A Data-Driven Approach Predictable Revenue Founder Tips.txt
Collin Stewart,7,4,Predictable Revenue,8JKq6ZzGNX0,Understanding Early Adopters in Tech | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=8JKq6ZzGNX0,113.0,ok,2240,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\8JKq6ZzGNX0 - Understanding Early Adopters in Tech Predictable Revenue Founder Tips.txt
Collin Stewart,7,5,Predictable Revenue,d0QrirtMT-k,Product-Market Fit in AI Security with Gidi Cohen | Predictable Revenue Podcast,https://www.youtube.com/watch?v=d0QrirtMT-k,2793.0,ok,53098,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\d0QrirtMT-k - Product-Market Fit in AI Security with Gidi Cohen Predictable Revenue Podcast.txt
Collin Stewart,7,6,Predictable Revenue,FuIA88bbedI,From Business to Writing | Predictable Revenue Founder Tips,https://www.youtube.com/watch?v=FuIA88bbedI,233.0,ok,4073,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\FuIA88bbedI - From Business to Writing Predictable Revenue Founder Tips.txt
Collin Stewart,7,7,Predictable Revenue,LYWpRQRgJAI,The Four Pillars of Sales Success | Predictable Revenue Sales Tips,https://www.youtube.com/watch?v=LYWpRQRgJAI,191.0,ok,3255,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\collin-stewart\LYWpRQRgJAI - The Four Pillars of Sales Success Predictable Revenue Sales Tips.txt
Kyle Vamvouris,7,1,Vouris,hAD4YnT8XlI,Build an AI Ready Knowledge System Your Team Can Share,https://www.youtube.com/watch?v=hAD4YnT8XlI,3030.0,ok,51688,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\hAD4YnT8XlI - Build an AI Ready Knowledge System Your Team Can Share.txt
Kyle Vamvouris,7,2,Vouris,l_Cq1-5LyP8,Everything I Know About Building AI Agents That Actually Do Useful Work,https://www.youtube.com/watch?v=l_Cq1-5LyP8,3397.0,ok,60336,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\l_Cq1-5LyP8 - Everything I Know About Building AI Agents That Actually Do Useful Work.txt
Kyle Vamvouris,7,3,Vouris,MhjWcmDtHEc,Build a self learning marketing AI Agent ( I used this to get 2.5M views in 30 days),https://www.youtube.com/watch?v=MhjWcmDtHEc,2588.0,ok,44795,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\MhjWcmDtHEc - Build a self learning marketing AI Agent ( I used this to get 2.5M views in 30 days).txt
Kyle Vamvouris,7,4,Vouris,ZMg133guig0,The Two-Way Content System: Feed Sales What They Need (And Tell Marketing What to Build Next),https://www.youtube.com/watch?v=ZMg133guig0,1835.0,ok,33888,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\ZMg133guig0 - The Two-Way Content System Feed Sales What They Need (And Tell Marketing What to Build Nex.txt
Kyle Vamvouris,7,5,Vouris,WbpXMtqRMeo,Build an AI SDR in Under an Hour,https://www.youtube.com/watch?v=WbpXMtqRMeo,2251.0,ok,39367,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\WbpXMtqRMeo - Build an AI SDR in Under an Hour.txt
Kyle Vamvouris,7,6,Vouris,x_JWm0TdhN0,How to write AI Prompts that 10x your output,https://www.youtube.com/watch?v=x_JWm0TdhN0,2917.0,ok,47783,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\x_JWm0TdhN0 - How to write AI Prompts that 10x your output.txt
Kyle Vamvouris,7,7,Vouris,LHz0UL1R3XE,Create A Sales Playbook That Powers Sales Reps And AI Agents,https://www.youtube.com/watch?v=LHz0UL1R3XE,3002.0,ok,48998,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\kyle-vamvouris\LHz0UL1R3XE - Create A Sales Playbook That Powers Sales Reps And AI Agents.txt
Richard Harris,7,1,Richard Harris,7vm5t6LGpbg,"Stop putting Surf & Sales on your bucket list. 

Join us this November surfandsales.com 

Most sales",https://www.youtube.com/watch?v=7vm5t6LGpbg,39.0,ok,756,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\7vm5t6LGpbg - Stop putting Surf & Sales on your bucket list. Join us this November surfandsales.com Most.txt
Richard Harris,7,2,Richard Harris,b9mtQvWITBI,Mastering Sales Discovery Skills - Surface Pains vs. Core Pains,https://www.youtube.com/watch?v=b9mtQvWITBI,117.0,ok,1754,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\b9mtQvWITBI - Mastering Sales Discovery Skills - Surface Pains vs. Core Pains.txt
Richard Harris,7,3,Richard Harris,qFNNB8JRdhk,The Secret of KPIs,https://www.youtube.com/watch?v=qFNNB8JRdhk,62.0,ok,984,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\qFNNB8JRdhk - The Secret of KPIs.txt
Richard Harris,7,4,Richard Harris,e_uHTxx3fdA,Top tip for client's long-term relationships,https://www.youtube.com/watch?v=e_uHTxx3fdA,86.0,ok,1387,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\e_uHTxx3fdA - Top tip for client's long-term relationships.txt
Richard Harris,7,5,Richard Harris,WqF4KJIYfsA,It's ok to suck at your job!,https://www.youtube.com/watch?v=WqF4KJIYfsA,63.0,ok,964,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\WqF4KJIYfsA - It's ok to suck at your job!.txt
Richard Harris,7,6,Richard Harris,HVGUij54Jk8,The secret of success in a down market,https://www.youtube.com/watch?v=HVGUij54Jk8,104.0,ok,1959,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\HVGUij54Jk8 - The secret of success in a down market.txt
Richard Harris,7,7,Richard Harris,YmQZB1xFb0s,Sales Training,https://www.youtube.com/watch?v=YmQZB1xFb0s,62.0,ok,1118,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\richard-harris\YmQZB1xFb0s - Sales Training.txt
Marcus Chan,7,1,Marcus Chan,yvD_Z1s8JPM,Your Best Reps Keep Quitting. And It's Your Fault.,https://www.youtube.com/watch?v=yvD_Z1s8JPM,2880.0,ok,45036,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\yvD_Z1s8JPM - Your Best Reps Keep Quitting. And It's Your Fault..txt
Marcus Chan,7,2,Marcus Chan,3oyed3Nw7KE,You Sell Who You See.,https://www.youtube.com/watch?v=3oyed3Nw7KE,160.0,ok,2533,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\3oyed3Nw7KE - You Sell Who You See..txt
Marcus Chan,7,3,Marcus Chan,8izDzVyBpjc,She Wanted 1 $100K+ Deal This Year. She Closed 3 in under 90 Days.,https://www.youtube.com/watch?v=8izDzVyBpjc,1156.0,ok,20155,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\8izDzVyBpjc - She Wanted 1 $100K+ Deal This Year. She Closed 3 in under 90 Days..txt
Marcus Chan,7,4,Marcus Chan,JS4Yte-sylk,How This Sales Team Lost $35M Despite 80% Win Rate,https://www.youtube.com/watch?v=JS4Yte-sylk,3852.0,ok,69541,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\JS4Yte-sylk - How This Sales Team Lost $35M Despite 80% Win Rate.txt
Marcus Chan,7,5,Marcus Chan,Rv2HW56ynbM,This AI Writes My Content Every Monday at 5AM,https://www.youtube.com/watch?v=Rv2HW56ynbM,200.0,ok,3488,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\Rv2HW56ynbM - This AI Writes My Content Every Monday at 5AM.txt
Marcus Chan,7,6,Marcus Chan,WLtM6XUr9Wg,85% of Sales Training Dies by Day 120. The 15% That Sticks Doesn't Use Training.,https://www.youtube.com/watch?v=WLtM6XUr9Wg,451.0,ok,6060,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\WLtM6XUr9Wg - 85% of Sales Training Dies by Day 120. The 15% That Sticks Doesn't Use Training..txt
Marcus Chan,7,7,Marcus Chan,EiJ8olATjoE,"1,000 Hires Taught Him The 1 Trait That Predicts a Top 1% Rep",https://www.youtube.com/watch?v=EiJ8olATjoE,4666.0,ok,83326,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\marcus-chan\EiJ8olATjoE - 1,000 Hires Taught Him The 1 Trait That Predicts a Top 1% Rep.txt"
